this_gene,other_gene,weight
83063200,83063456,4
83062301,83065946,4
83063008,83063155,4
83063008,83063798,4
83063008,83065783,4
83063008,83066648,4
83063155,83063798,4
83063155,83065783,4
83063155,83066648,4
83063798,83065783,4
83063798,83066648,4
83065783,83066648,4
83065549,83065744,4
83065030,83065736,4
83064155,83065254,4
83063546,83063897,4
83063546,83065699,4
83063546,83065775,4
83063897,83065699,4
83063897,83065775,4
83065699,83065775,4
83063272,83064037,4
83063454,83063485,4
83063454,83065202,4
83063485,83065202,4
83062542,83064861,4
83063269,83063684,4
83064646,83064648,4
83064280,83064733,4
83062391,83062728,5
83062391,83062988,5
83062391,83063825,5
83062391,83065210,5
83062391,83066357,5
83062391,83066423,5
83062728,83062988,5
83062728,83063825,5
83062728,83065210,5
83062728,83066357,5
83062728,83066423,5
83062988,83063825,5
83062988,83065210,5
83062988,83066357,5
83062988,83066423,5
83063825,83065210,5
83063825,83066357,5
83063825,83066423,5
83065210,83066357,5
83065210,83066423,5
83066357,83066423,5
83063894,83065714,5
83062131,83062165,5
83062131,83063039,5
83062165,83063039,5
83062201,83064222,6
83064999,83066516,6
83064020,83065461,7
